title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"142,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211342/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,Japanese Specs
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"169,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211283/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"150,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211329/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"154,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211322/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211293/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"154,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211321/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211319/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211318/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota HiAce H200 Facelift,2025,0 km,"95,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2025/id/211468/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,European Specs
Toyota HiAce H200 Facelift,2024,0 km,"92,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2024/id/211484/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,N/A
