iter	Passed	Remaining
1082	27552	48769
1083	27582	48752
1084	27615	48741
1085	27640	48715
1086	27664	48686
1087	27690	48661
1088	27718	48641
1089	27744	48616
1090	27769	48590
1091	27796	48567
1092	27818	48536
1093	27842	48507
1094	27869	48485
1095	27902	48473
1096	27927	48446
1097	27952	48419
1098	27977	48394
1099	28000	48363
1100	28026	48339
1101	28050	48312
1102	28076	48287
1103	28104	48266
1104	28133	48247
1105	28156	48217
1106	28180	48188
1107	28200	48153
1108	28223	48125
1109	28247	48097
1110	28274	48074
1111	28302	48052
1112	28327	48027
1113	28349	47996
1114	28374	47969
1115	28403	47950
1116	28427	47922
1117	28452	47896
1118	28481	47877
1119	28512	47859
1120	28536	47832
1121	28558	47801
1122	28582	47773
1123	28608	47748
1124	28632	47720
1125	28658	47695
1126	28683	47670
1127	28709	47645
1128	28735	47621
1129	28763	47599
1130	28790	47576
1131	28817	47553
1132	28844	47530
1133	28869	47505
1134	28896	47481
1135	28922	47456
1136	28951	47438
1137	28976	47410
1138	29002	47387
1139	29025	47357
1140	29050	47330
1141	29074	47302
1142	29099	47277
1143	29128	47257
1144	29156	47236
1145	29179	47205
1146	29206	47183
1147	29235	47163
1148	29262	47140
1149	29284	47110
1150	29306	47079
1151	29330	47051
1152	29357	47027
1153	29386	47007
1154	29417	46991
1155	29448	46974
1156	29481	46960
1157	29513	46946
1158	29548	46936
1159	29589	46935
1160	29619	46916
1161	29647	46894
1162	29685	46888
1163	29733	46898
1164	29763	46880
1165	29790	46858
1166	29819	46836
1167	29852	46823
1168	29883	46806
1169	29909	46780
1170	29936	46757
1171	29964	46737
1172	29991	46712
1173	30016	46686
1174	30040	46658
1175	30065	46632
1176	30088	46601
1177	30112	46575
1178	30145	46561
1179	30174	46540
1180	30204	46521
1181	30228	46494
1182	30251	46463
1183	30276	46436
1184	30301	46410
1185	30331	46392
1186	30356	46365
1187	30384	46343
1188	30411	46320
1189	30432	46287
1190	30462	46269
1191	30495	46255
1192	30523	46233
1193	30552	46211
1194	30573	46180
1195	30595	46149
1196	30615	46114
1197	30639	46087
1198	30663	46059
1199	30690	46036
1200	30716	46011
1201	30738	45979
1202	30763	45954
1203	30795	45937
1204	30821	45912
1205	30847	45887
1206	30873	45863
1207	30894	45830
1208	30918	45801
1209	30955	45793
1210	30983	45772
1211	31012	45751
1212	31036	45723
1213	31056	45690
1214	31079	45660
1215	31107	45637
1216	31133	45613
1217	31160	45590
1218	31187	45565
1219	31217	45547
1220	31241	45519
1221	31263	45487
1222	31287	45460
1223	31311	45432
1224	31335	45404
1225	31368	45389
1226	31395	45366
1227	31421	45340
1228	31448	45316
1229	31472	45288
1230	31490	45253
1231	31513	45223
1232	31537	45195
1233	31566	45175
1234	31595	45155
1235	31621	45129
1236	31652	45112
1237	31686	45098
1238	31716	45079
1239	31748	45062
1240	31776	45040
1241	31801	45014
1242	31827	44988
1243	31862	44976
1244	31903	44972
1245	31938	44960
1246	31970	44943
1247	31999	44922
1248	32026	44898
1249	32054	44876
1250	32085	44858
1251	32110	44831
1252	32143	44816
1253	32176	44800
1254	32213	44790
1255	32241	44768
1256	32265	44739
1257	32287	44709
1258	32318	44691
1259	32353	44678
1260	32378	44652
1261	32410	44635
1262	32444	44620
1263	32558	44716
1264	32595	44706
1265	32621	44680
1266	32646	44653
1267	32674	44630
1268	32703	44610
1269	32739	44597
1270	32767	44574
1271	32792	44548
1272	32824	44531
1273	32854	44510
1274	32879	44484
1275	32908	44461
1276	32937	44441
1277	32964	44417
1278	32990	44391
1279	33017	44366
1280	33042	44340
1281	33068	44315
1282	33094	44289
1283	33125	44270
1284	33153	44247
1285	33174	44215
1286	33197	44185
1287	33218	44154
1288	33243	44127
1289	33269	44101
1290	33301	44083
1291	33325	44055
1292	33354	44034
1293	33383	44012
1294	33407	43984
1295	33434	43960
1296	33458	43932
1297	33481	43902
1298	33510	43880
1299	33535	43853
1300	33562	43830
1301	33596	43815
1302	33630	43799
1303	33665	43785
1304	33694	43764
1305	33723	43741
1306	33754	43723
1307	33786	43705
1308	33820	43690
1309	33862	43685
1310	33896	43670
1311	33929	43653
1312	33973	43650
1313	34009	43638
1314	34036	43613
1315	34067	43593
1316	34093	43567
1317	34116	43538
1318	34144	43515
1319	34168	43486
1320	34190	43455
1321	34223	43439
1322	34257	43423
