kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
150000,8,18750.0,249.5,3249.5,4 door,6,5 Seater,BMW,X5,sDrive35i,Petrol,SUV,Left Hand,American Specs,7-10,11.034905792929417
88622,16,5538.875,349.5,4000.0,4 door,6,7 Seater,Ford,Explorer,XLT,Petrol,SUV,Left Hand,Japanese Specs,10+,9.87822102528824
120000,10,12000.0,249.5,4000.0,5+ doors,6,5 Seater,Toyota,FJ Cruiser,Xtreme,Petrol,SUV,Left Hand,GCC Specs,7-10,11.60824473564232
65419,7,9345.57142857143,549.5,4000.0,5+ doors,8,4 Seater,Bentley,Bentayga,Standard,Petrol,SUV,Left Hand,GCC Specs,7-10,12.896719202134523
280,1,280.0,249.5,3249.5,4 door,6,7 Seater,Mercedes-Benz,GLS-Class,GLS 450,Petrol,SUV,Left Hand,GCC Specs,0-1,12.923914877701906
123000,12,10250.0,349.5,2749.5,5+ doors,4,7 Seater,Toyota,Prado,VXR,Petrol,SUV,Left Hand,GCC Specs,10+,11.251573687764475
63280,6,10546.666666666666,449.5,249.5,5+ doors,Unknown,5 Seater,Tesla,Model 3,Performance,Electric,Sedan,Left Hand,GCC Specs,4-6,11.326607934898927
160000,10,16000.0,249.5,2749.5,4 door,4,5 Seater,Nissan,Rogue,SV,Petrol,SUV,Left Hand,American Specs,7-10,10.165890277802454
33000,2,16500.0,349.5,2249.5,4 door,4,5 Seater,Hyundai,Tucson,Black Edition,Petrol,SUV,Left Hand,American Specs,2-3,10.97679912709094
24654,3,8218.0,149.5,1749.5,4 door,4,5 Seater,Toyota,C-HR,VX,Petrol,Crossover,Left Hand,GCC Specs,2-3,11.270866642542863
198000,12,16500.0,149.5,1749.5,3 door,4,4 Seater,Hyundai,Veloster,Standard,Petrol,Hatchback,Left Hand,GCC Specs,10+,9.798182590890704
3027,3,1009.0,749.5,3749.5,4 door,8,5 Seater,Mercedes-Benz,G-Class,G 63 AMG,Petrol,SUV,Left Hand,European Specs,2-3,13.81451105863119
15186,3,5062.0,149.5,1749.5,5+ doors,4,5 Seater,Lexus,UX-Series,UX 250,Petrol,Crossover,Left Hand,GCC Specs,2-3,11.782952602183288
27000,2,13500.0,549.5,4000.0,4 door,8,7 Seater,Mercedes-Benz,GLS-Class,GLS 63 AMG,Petrol,SUV,Left Hand,GCC Specs,2-3,13.21767537538882
