brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Toyota,Camry,0,LE,4 door,Hybrid,4,Sedan,5 Seater,Left Hand,GCC Specs,0,249.5,,0.0,11.63956692643747,0-1
Mercedes-Benz,S-Class,228000,S 500,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,13,349.5,4000.0,17538.46153846154,10.545367754151744,10+
Mercedes-Benz,E-Class,195000,E 350,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,11,349.5,3749.5,17727.272727272728,10.491301994830229,10+
Jeep,Wrangler,127380,Sport,5+ doors,Petrol,6,SUV,4 Seater,Left Hand,GCC Specs,10,249.5,3749.5,12738.0,11.156264806643742,7-10
Mercedes-Benz,G-Class,45000,G 63 AMG,4 door,Petrol,8,SUV,5 Seater,Left Hand,Japanese Specs,7,549.5,4000.0,6428.571428571428,13.235693848424024,7-10
Audi,A4,11261,35TFSI Progress Black,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,149.5,1749.5,5630.5,11.969723533345908,2-3
Mercedes-Benz,G-Class,10,G 580,4 door,Electric,Unknown,SUV,5 Seater,Left Hand,Japanese Specs,1,549.5,,10.0,13.161586013632684,0-1
Tesla,Model Y,27300,Performance,4 door,Electric,Unknown,Crossover,5 Seater,Left Hand,GCC Specs,2,,249.5,13650.0,11.848690308590855,2-3
GMC,Sierra,65800,AT4,2 door,Petrol,8,Pick Up Truck,2 Seater,Left Hand,GCC Specs,4,349.5,,16450.0,11.849404844423074,4-6
Volkswagen,Amarok,20000,,,,,,,,,2,,,10000.0,11.820417517632333,2-3
Bentley,Mulsanne,80000,Special Edition,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,15,549.5,4000.0,5333.333333333333,12.201065128819632,10+
Lexus,GS-Series,121000,GS 350 F Sport,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,13,349.5,3249.5,9307.692307692309,10.545367754151743,10+
BMW,5-Series,118000,528i,5+ doors,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,14,549.5,2249.5,8428.57142857143,10.12667110305036,10+
Mercedes-Benz,C-Class,200,C200,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,0,249.5,,200.0,12.296831574998258,0-1
Volkswagen,Teramont,72142,Trendline,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,3,249.5,3749.5,24047.33333333333,11.4605895219503,2-3
BMW,X6,109403,xDrive40i,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,5,349.5,3249.5,21880.6,12.066816325306588,4-6
Toyota,Yaris,92000,TOP,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,Japanese Specs,17,149.5,1749.5,5411.764705882353,9.741027444837728,10+
Audi,Q5,38000,45 TFSI quattro S line,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,,19000.0,12.269052139516223,2-3
