brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,age_bucket,price_aed
Ashok Leyland,Oyster,37101,Other,2 door,Diesel,6,Other,8+ Seater,Left Hand,GCC Specs,4,149.5,4000.0,9275.25,4-6,125000.0
Aston Martin,Vantage,60456,V12,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,12,549.5,4000.0,5038.0,10+,289950.0
Aston Martin,Vantage,30000,AMR,2 door,Petrol,8,Coupe,,Left Hand,GCC Specs,11,549.5,,2727.2727272727275,10+,149000.0
Aston Martin,DBS,35909,Superleggera,2 door,Petrol,12,Coupe,2 Seater,Left Hand,European Specs,7,749.5,4000.0,5129.857142857143,7-10,625000.0
Aston Martin,DBX,20348,550,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,5,549.5,4000.0,4069.6,4-6,364999.0
Aston Martin,Rapide,529,S,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,12,549.5,4000.0,44.083333333333336,10+,499000.0
Aston Martin,Vantage,11440,Standard (V8),2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,3,549.5,4000.0,3813.3333333333335,2-3,599000.0
Aston Martin,Vanquish,1043,Other,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,8,549.5,4000.0,130.375,7-10,1999995.0
Aston Martin,Vanquish,35400,Standard,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,11,549.5,4000.0,3218.181818181818,10+,399000.0
Aston Martin,DB12,4336,Coupe,2 door,Petrol,8,Coupe,4 Seater,Left Hand,GCC Specs,2,649.5,4000.0,2168.0,2-3,899000.0
Aston Martin,Vanquish,45311,Standard,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,13,549.5,4000.0,3485.4615384615386,10+,278900.0
Aston Martin,DB9,57552,Standard,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,12,549.5,4000.0,4796.0,10+,195000.0
Aston Martin,Vantage,44500,S,2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,7,549.5,3749.5,6357.142857142857,7-10,369990.0
Aston Martin,DB12,5000,Coupe,2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,2,549.5,4000.0,2500.0,2-3,1099000.0
Aston Martin,Vanquish,38213,Carbon Black,2 door,Petrol,12,Coupe,,Left Hand,GCC Specs,13,549.5,4000.0,2939.4615384615386,10+,329999.0
Aston Martin,DB12,4135,Coupe,2 door,Petrol,8,Coupe,4 Seater,Left Hand,GCC Specs,1,649.5,4000.0,4135.0,0-1,1099000.0
Aston Martin,Rapide,70250,S Shadow Edition,5+ doors,Petrol,12,Sedan,4 Seater,Left Hand,GCC Specs,8,549.5,4000.0,8781.25,7-10,319000.0
Aston Martin,DB11,44965,Launch edition,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,9,649.5,4000.0,4996.111111111111,7-10,329999.0
Aston Martin,DB11,21000,V12 Coupe,2 door,Petrol,12,Coupe,4 Seater,Left Hand,Other,9,649.5,4000.0,2333.333333333333,7-10,399000.0
Aston Martin,DB9,25000,Standard,2 door,Petrol,12,Coupe,4 Seater,Left Hand,Other,13,549.5,4000.0,1923.076923076923,10+,249000.0
Aston Martin,Vantage,49000,V12,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,16,549.5,4000.0,3062.5,10+,339000.0
Aston Martin,DBX,6700,707,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,2,749.5,4000.0,3350.0,2-3,1190000.0
Aston Martin,DB7,44000,Volante,2 door,Petrol,12,Soft Top Convertible,,Left Hand,American Specs,23,449.5,,1913.0434782608693,10+,109990.0
Aston Martin,Zagato,3500,Icon,2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,12,449.5,4000.0,291.6666666666667,10+,2600000.0
Aston Martin,DBS,15000,V12,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,17,649.5,,882.3529411764706,10+,271000.0
Aston Martin,DBX,13611,550,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,5,549.5,3749.5,2722.2,4-6,599000.0
Aston Martin,Vantage,32,GT12,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,10,649.5,4000.0,3.2,7-10,1850000.0
Aston Martin,Vanquish,2512,Zagato Coupe,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,8,549.5,4000.0,314.0,7-10,2980000.0
Aston Martin,DB11,23770,V12 Coupe,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,8,649.5,4000.0,2971.25,7-10,439000.0
Aston Martin,DB12,72,Coupe,2 door,Petrol,8,Coupe,4 Seater,Left Hand,GCC Specs,2,649.5,3749.5,36.0,2-3,1395000.0
Aston Martin,Vanquish,46802,Volante,2 door,Petrol,12,Soft Top Convertible,4 Seater,Left Hand,GCC Specs,12,549.5,4000.0,3900.1666666666665,10+,485000.0
Aston Martin,Vantage,44500,S,2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,7,649.5,3749.5,6357.142857142857,7-10,359000.0
Aston Martin,DB12,10200,Coupe,2 door,Petrol,8,Coupe,4 Seater,Left Hand,GCC Specs,2,649.5,4000.0,5100.0,2-3,1180000.0
Aston Martin,DBX,14000,707,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,3,749.5,4000.0,4666.666666666667,2-3,789000.0
Aston Martin,DB11,29800,V12 Coupe,2 door,Petrol,12,Coupe,4 Seater,Left Hand,GCC Specs,3,549.5,4000.0,9933.333333333334,2-3,659900.0
